icao,lat,lon,name
FAMP,-22.374701,30.881599,Madimbo Airport
FAMQ,-31.072201,28.376141,Maclear Airport
FAMS,-25.704500,26.909000,Morningside Farm Airport
FAMT,-31.389601,26.348400,Molteno Airport
FAMU,-27.626101,32.044300,Mkuze Airport
FAMX,-27.481400,32.593899,Mbazwana Airport
FAMY,-33.486132,18.710311,Malmesbury Airport
FAMZ,-26.049999,31.017000,Msauli Airport
FANA,-27.914000,31.656200,Nongoma Airport
FANC,-27.770599,29.976900,Newcastle Airport
FANG,-24.389000,31.326000,Ngala Airport
FANH,-29.356001,30.518400,New Hanover Airport
FANL,-25.978500,28.984400,New Largo Airport
FANS,-25.500000,30.913799,Nelspruit Airport
FANV,-31.391097,19.105888,Nieuwoudtville Airfield
FANX,-33.347520,18.696840,Diepkloof Airfield
FANY,-24.686100,28.434900,Nylstroom Airfield
FAOB,-34.563474,20.252438,Overberg Airport
FAOD,-27.871000,26.693399,Odendaalsrus Airport
FAOF,-27.961700,22.716600,Jack Duvenhage Airport
FAOH,-33.606998,22.188999,Oudtshoorn Airport
FAOI,-26.039400,27.595600,Orient Glider Airport
FAOL,-24.733000,31.400000,Othawa Airport
FAON,-28.044901,32.425400,Ornate Lake - St Lucia Airport
FAOR,-26.140081,28.246801,O.R. Tambo International Airport
FAOT,-26.798300,26.000299,Ottosdal Airport
FAOY,-26.983900,26.651400,Orkney Airport
FAPA,-33.555057,26.881656,Port Alfred Airport
FAPC,-33.202499,22.032200,Prince Albert Airport
FAPD,-29.141701,19.413099,Pofadder Airport
FAPE,-33.989715,25.617353,Chief Dawid Stuurman International Airport
FAPF,-26.996901,30.840799,Piet Retief Airport
FAPG,-34.088160,23.328723,Plettenberg Bay Airport
FAPH,-23.937201,31.155399,Hendrik Van Eck Airport
FAPI,-23.926100,29.484400,Pietersburg Municipal Airport
FAPJ,-31.606120,29.521750,Port St Johns Airport
FAPK,-29.683599,22.770599,Prieska Airport
FAPL,-27.362200,31.606701,Pongola Airport
FAPM,-29.649000,30.398701,Pietermaritzburg Airport
FAPN,-25.333799,27.173401,Pilanesberg International Airport
FAPO,-24.785147,30.791899,Pilgrims Rest Airport
FAPP,-23.845269,29.458615,Polokwane International Airport
FAPQ,-22.770000,31.010800,Punda Maria(Malia) Airport
FAPS,-26.671000,27.081900,Potchefstroom Airport
FAPT,-28.338600,23.079700,Posmasburg Soil Airport
FAPU,-33.710767,19.024389,Paarl East Airport
FAPV,-30.081800,24.679600,Petrusville Airport
FAPW,-26.606100,29.329201,Pietersrus Airport
FAPX,-34.101330,24.884352,Paradise Beach Airport
FAPY,-26.889299,27.503401,Parys Airport
FAPZ,-33.926448,25.371916,Progress Airport
FAQF,-25.847700,23.537300,Pomfret Airport
FAQT,-31.920200,26.882200,Queenstown Airport
FARA,-26.084596,28.390387,Petit Airport
FARB,-28.740999,32.092098,Richards Bay Airport
FARD,-34.111698,21.262800,Riversdale Airport
FARG,-25.644300,27.271099,Rustenburg Airport
FARI,-27.547199,24.172501,Reivilo Airport
FARM,-31.423500,23.978201,Richmond Airport
FARO,-24.777789,27.752336,Rooiberg Airport
FARS,-33.812199,19.902800,Robertson Airport
FARZ,-22.784201,28.430300,Reitz Airport
FASB,-29.689301,17.939600,Springbok Airport
FASC,-26.524099,29.170099,Secunda Airport
FASD,-32.964100,17.969299,Saldanha/Vredenburg Airport
FASE,-24.947375,31.448848,Sabi Sabi Airport
FASG,-27.163099,25.286100,Schweizer Reneke Airport
FASH,-33.980983,18.822327,Stellenbosch Airport
FASI,-26.249400,28.398272,Springs Airfield
FASJ,-26.760000,27.760000,Saffier Airport
FASK,-25.809700,28.164600,Swartkop Air Force Base
FASL,-32.488201,20.697100,Sutherland Airport
FASM,-29.325001,30.149200,Siteka Airport
FASN,-28.312201,27.646099,Senekal Airport
FASS,-27.648600,22.999300,Sishen Airport
FAST,-32.750198,25.594999,Somerset East Airport
FASU,-25.956900,29.211700,Sace Airport
FASW,-25.815599,25.886400,Slurry Airport
FASX,-34.048199,20.474600,Hendrik Swellengrebel Airport
FASZ,-24.960850,31.588587,Skukuza Airport
FATA,-26.352038,27.968163,Tedderfield Air Park
FATB,-24.416086,31.164232,Thorny Bush Game Lodge Airport
FATF,-28.260000,22.993200,Tommys Field Airport
FATG,-24.281100,27.229400,Thaba Tholo Airport
FATH,-23.076900,30.383600,Thohoyandou Airport
FATI,-24.576085,27.419686,Thabazimbi Airport
FATM,-32.566666,27.450001,Stutterheim Airport
FATN,-29.317801,26.822800,Thaba Nchu Tar Airport
FATR,-32.639682,28.422969,Trennery's Airport
FATT,-26.775128,29.337542,Tutuka Power Station Airport
FATW,-27.205000,22.481899,Witberg Tswalu Airport
FATZ,-23.824400,30.329300,Tzaneen Airport
FAUB,-29.788401,29.498301,Underberg Airport
FAUC,-28.354500,24.229099,Ulco Airport
FAUG,-31.219999,28.209999,Ugie Airport
FAUH,-33.785301,25.383301,Uitenhage Airport
FAUL,-28.320601,31.416500,Prince Mangosuthu Buthelezi Airport
FAUP,-28.400246,21.263592,Upington Airport
FAUR,-27.680500,30.316799,Utrecht Airport
FAUS,-24.785400,31.354900,Ulusaba Airport
FAUT,-31.546363,28.673355,K. D. Matanzima Airport
FAVA,-30.134199,18.526699,Vaalputs Airport
FAVB,-26.982401,24.728800,Vryburg Airport
FAVD,-27.440300,29.153099,Vrede Airport
FAVE,-26.300900,26.814199,Ventersdorp Airport
FAVF,-31.165800,23.809401,Verborgenfontei Airport
FAVG,-29.770599,31.058399,Virginia Airport
FAVI,-27.610600,26.683500,Von Abo's Villa Airport
FAVM,-22.448099,29.337700,Venetia Mine Airport
FAVP,-26.690300,27.777100,Vanderbijlpark Airport
FAVR,-31.641001,18.544800,Vredendal Airport
FAVS,-27.834580,21.630370,Vastrap Airport
FAVU,-27.376900,29.860001,Volksrust Airport
FAVV,-26.566401,27.960800,Vereeniging Airport
FAVW,-31.399401,23.156401,Victoria West Airport
FAVY,-27.786900,30.796400,Vryheid Airport
FAWA,-24.910000,28.299999,Warmbaths Airport
FAWB,-25.653900,28.224199,Wonderboom Airport
FAWC,-33.663101,19.415300,Worcester Glider Airport
FAWD,-27.170000,25.980000,Wolmeransstad Airport
FAWE,-24.204600,27.900000,Welgevonden Reserve
FAWI,-25.832300,29.191999,Witbank Airport
FAWK,-25.830000,28.222500,Waterkloof Air Force Base
FAWL,-31.383600,20.932800,Williston Airport
FAWM,-27.996825,26.663334,Welkom Airport
FAWN,-33.770000,18.740000,Cape Winelands Airport
FAWO,-33.263302,23.490601,Willowmore Airport
FAWR,-32.589906,28.518491,Wavecrest Airport
FAWS,-27.846701,26.350599,Wesselbronn Af Airport
FAWT,-24.660091,30.180422,Winterveldt Mine Airport
FAWV,-25.319676,30.970782,White River Mercy Air
FAYP,-33.900200,18.498301,Ysterplaat Air Force Base
FAZP,-32.472152,28.650520,Mazeppa Bay Airport
FAZQ,-26.893101,27.690001,Star Airport
FAZR,-25.599001,26.042299,Zeerust Airport
